Graph,Random Critical Fraction,Targeted Critical Fraction,Average Shortest Path Length,Average Clustering Coefficient,No. Connected Components
Jgn2Plus,0.05555555555555555,0.05555555555555555,3.3594771241830066,0.0,1
Renater2008,0.48484848484848486,0.09090909090909091,3.102272727272727,0.2184879093970003,1
Garr201102,0.2982456140350877,0.05263157894736842,3.610275689223058,0.052906255537834485,1
Marwan,0.1875,0.1875,3.058333333333333,0.0,1
Quest,0.45,0.25,2.694736842105263,0.12833333333333333,1
Dataxchange,0.6666666666666666,0.5,1.2666666666666666,0.7666666666666666,1
Sanren,0.5714285714285714,0.5714285714285714,2.0,0.0,1
Garr200909,0.2727272727272727,0.09090909090909091,3.538720538720539,0.05543617998163453,1
AsnetAm,0.18461538461538463,0.03076923076923077,3.776923076923077,0.12748845925316513,1
Xspedius,0.47058823529411764,0.17647058823529413,3.308377896613191,0.021008403361344536,1
Globalcenter,0.5555555555555556,0.5555555555555556,1.0,1.0,1
VtlWavenet2011,0.09782608695652174,0.05434782608695652,13.07214524605829,0.0,1
Iris,0.29411764705882354,0.09803921568627451,4.891764705882353,0.04248366013071895,1
GtsSlovakia,0.4,0.05714285714285714,2.779831932773109,0.0,1
Integra,0.4444444444444444,0.18518518518518517,3.299145299145299,0.21481481481481482,1
Carnet,0.4090909090909091,0.022727272727272728,2.9947145877378434,0.0,1
Geant2012,0.3,0.15,3.528205128205128,0.1544047619047619,1
Bbnplanet,0.37037037037037035,0.18518518518518517,3.4843304843304845,0.0,1
Belnet2008,0.42857142857142855,0.09523809523809523,3.4095238095238094,0.0,1
Renater2001,0.375,0.08333333333333333,2.9130434782608696,0.0,1
HiberniaGlobal,0.2,0.12727272727272726,5.866666666666666,0.15047619047619046,1
Garr201201,0.16393442622950818,0.04918032786885246,3.6191256830601093,0.05428888051838871,1
Layer42,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.4166666666666667,1
PionierL3,0.3157894736842105,0.21052631578947367,4.295874822190612,0.06725146198830409,1
Telecomserbia,0.5,0.6666666666666666,1.8,0.0,1
GtsRomania,0.47619047619047616,0.09523809523809523,2.5904761904761906,0.10150484436198721,1
Uran,0.4166666666666667,0.041666666666666664,3.61231884057971,0.0,1
HurricaneElectric,0.3333333333333333,0.125,2.760869565217391,0.2970238095238095,1
Bandcon,0.2727272727272727,0.13636363636363635,3.0285714285714285,0.08181818181818182,2
Interoute,0.21818181818181817,0.14545454545454545,7.621184320266889,0.10545454545454545,1
Garr199901,0.375,0.125,2.2916666666666665,0.05267857142857143,1
Spiralight,0.2,0.5333333333333333,3.4095238095238094,0.0,1
Heanet,0.42857142857142855,0.2857142857142857,1.4761904761904763,0.7714285714285715,1
Highwinds,0.3888888888888889,0.2777777777777778,2.7058823529411766,0.26031746031746034,1
Agis,0.32,0.16,3.18,0.04666666666666667,1
WideJpn,0.26666666666666666,0.06666666666666667,3.239080459770115,0.1369047619047619,1
Geant2010,0.43243243243243246,0.10810810810810811,3.463963963963964,0.216023166023166,1
TataNld,0.2,0.06206896551724138,9.849712643678162,0.06528735632183909,1
Ibm,0.3888888888888889,0.3333333333333333,2.6993464052287583,0.0,1
Oteglobe,0.12903225806451613,0.043010752688172046,6.523655598001763,0.02114695340501792,7
GtsPoland,0.36363636363636365,0.12121212121212122,4.378787878787879,0.0,1
Garr200212,0.37037037037037035,0.07407407407407407,2.52991452991453,0.008460264015819572,1
Singaren,0.2727272727272727,0.09090909090909091,1.8181818181818181,0.0,1
KentmanFeb2008,0.15384615384615385,0.07692307692307693,3.0276923076923077,0.0,1
Cesnet200304,0.3793103448275862,0.06896551724137931,2.960591133004926,0.0780564263322884,1
Surfnet,0.34,0.16,4.364897959183674,0.09588888888888888,1
Nordu2005,0.5555555555555556,0.1111111111111111,1.8888888888888888,0.15343915343915343,1
Ntt,0.2553191489361702,0.10638297872340426,2.685483870967742,0.26020079211568575,16
Arnes,0.47058823529411764,0.058823529411764705,3.4367201426024954,0.09754901960784312,1
NetworkUsa,0.2,0.05714285714285714,5.147899159663866,0.0,1
Sanet,0.16279069767441862,0.06976744186046512,5.827242524916944,0.0,1
Garr201112,0.16393442622950818,0.04918032786885246,3.6191256830601093,0.05428888051838871,1
Janetlense,0.55,0.1,2.0736842105263156,0.6625,1
Ulaknet,0.3048780487804878,0.012195121951219513,2.4402288467329116,0.0004347279965889146,1
Internode,0.30303030303030304,0.07575757575757576,3.5995337995337997,0.012806637806637806,1
Garr201010,0.2857142857142857,0.05357142857142857,3.551948051948052,0.0538510101010101,1
GtsCe,0.2080536912751678,0.026845637583892617,8.829584618175222,0.08221476510067115,1
BeyondTheNetwork,0.3018867924528302,0.07547169811320754,3.886066763425254,0.05256064690026954,1
Missouri,0.13432835820895522,0.05970149253731343,6.2274988692899145,0.02487562189054726,1
Sunet,0.3076923076923077,0.15384615384615385,4.52,0.07692307692307693,1
Garr201107,0.2711864406779661,0.05084745762711865,3.6160140268848626,0.054593241033919,1
Karen,0.36,0.08,3.4166666666666665,0.050666666666666665,1
Restena,0.3684210526315789,0.10526315789473684,2.695906432748538,0.0,1
Uunet,0.42857142857142855,0.12244897959183673,3.2865646258503403,0.14014975953751463,1
KentmanApr2007,0.2608695652173913,0.08695652173913043,2.948051948051948,0.0,2
UsCarrier,0.16455696202531644,0.03164556962025317,12.09030073369346,0.05822784810126582,1
Fatman,0.47058823529411764,0.11764705882352941,2.6323529411764706,0.21830065359477124,1
Niif,0.4722222222222222,0.05555555555555555,3.142857142857143,0.017277167277167278,1
